customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9164-['A' 'A' 'S' 'B' 'U'],Female,0,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.78,881.86,Yes
2707-['Z' 'F' 'W' 'D' 'W'],Male,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.99,1045.7,No
1202-['X' 'Q' 'F' 'X' 'E'],Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),78.7,5191.13,No
3931-['B' 'F' 'V' 'K' 'P'],Male,1,Yes,Yes,9,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,69.01,626.08,No
7287-['A' 'I' 'F' 'P' 'C'],Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),31.07,1488.32,No
1659-['D' 'S' 'Z' 'C' 'S'],Female,0,Yes,No,64,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),74.78,4787.02,No
3911-['G' 'T' 'I' 'A' 'H'],Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.63,5186.48,No
6759-['G' 'R' 'H' 'A' 'K'],Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.13,2477.24,Yes
9155-['Y' 'Y' 'R' 'W' 'J'],Female,0,Yes,Yes,4,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,72.3,291.75,Yes
1262-['P' 'Z' 'P' 'Y' 'T'],Male,0,No,Yes,70,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,75.29,5271.27,No
3049-['A' 'P' 'L' 'E' 'E'],Male,0,Yes,Yes,56,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.11,4649.27,No
8158-['I' 'I' 'C' 'S' 'P'],Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,65.04,914.36,Yes
3255-['C' 'T' 'X' 'V' 'X'],Male,0,No,Yes,29,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),64.94,1882.71,Yes
2648-['H' 'D' 'F' 'H' 'T'],Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.17,558.55,Yes
9445-['C' 'P' 'Y' 'C' 'Y'],Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,75.97,2734.88,No
3961-['N' 'R' 'B' 'V' 'C'],Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,77.67,157.28,No
1956-['I' 'D' 'A' 'D' 'A'],Female,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.54,2194.57,Yes
5493-['U' 'P' 'T' 'X' 'H'],Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),91.09,3646.05,No
2218-['Q' 'A' 'P' 'L' 'S'],Male,0,No,Yes,38,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),72.61,2757.56,Yes
4446-['V' 'N' 'F' 'F' 'M'],Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.68,790.51,No
9754-['V' 'H' 'B' 'U' 'A'],Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),65.86,65.86,No
8022-['A' 'E' 'P' 'S' 'D'],Female,0,Yes,No,22,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,65.7,1441.87,No
5642-['Q' 'Q' 'L' 'N' 'U'],Male,0,No,No,22,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,69.24,1520.14,Yes
2060-['X' 'Q' 'N' 'U' 'C'],Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),95.83,1435.73,No
1699-['A' 'T' 'U' 'W' 'A'],Male,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),105.29,846.24,No
4327-['C' 'R' 'Y' 'J' 'V'],Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.5,796.68,No
1569-['C' 'H' 'N' 'X' 'R'],Male,0,No,Yes,27,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),66.55,1799.09,No
8455-['O' 'V' 'W' 'B' 'J'],Female,0,Yes,Yes,26,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),55.91,1449.49,Yes
2409-['Z' 'Q' 'H' 'A' 'I'],Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.04,4402.91,No
8343-['G' 'J' 'W' 'Z' 'C'],Female,0,No,No,63,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),62.9,3962.52,No
2841-['Y' 'X' 'M' 'Z' 'G'],Female,0,No,No,51,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),79.98,4083.76,No
8992-['D' 'M' 'T' 'A' 'H'],Male,0,No,Yes,37,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,73.82,2734.8,No
7655-['N' 'P' 'N' 'L' 'S'],Male,0,No,Yes,64,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,74.35,4757.95,No
7614-['O' 'B' 'B' 'W' 'V'],Female,0,No,Yes,17,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,70.96,1209.07,Yes
5146-['Y' 'Z' 'V' 'Z' 'Z'],Male,0,Yes,Yes,62,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),71.21,4411.95,No
8509-['Q' 'T' 'J' 'F' 'O'],Female,0,No,No,50,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,74.15,3708.12,Yes
3491-['E' 'A' 'H' 'U' 'L'],Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.76,233.83,Yes
1004-['G' 'D' 'F' 'M' 'T'],Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,90.81,1088.2,No
5142-['C' 'W' 'H' 'T' 'P'],Male,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.89,1123.97,No
5465-['J' 'S' 'Q' 'X' 'S'],Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,83.92,4533.87,No
6177-['W' 'Z' 'E' 'Z' 'U'],Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,104.2,4376.3,No
6949-['W' 'I' 'L' 'U' 'A'],Female,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.68,1192.75,No
2081-['Z' 'A' 'O' 'B' 'V'],Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),97.97,6564.14,No
1559-['Y' 'H' 'M' 'U' 'A'],Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.57,2702.1,Yes
4343-['G' 'E' 'V' 'W' 'C'],Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.12,649.11,Yes
4147-['Z' 'P' 'S' 'E' 'V'],Female,0,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.31,1099.18,No
3744-['N' 'E' 'O' 'Q' 'N'],Female,1,No,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.01,193.13,Yes
7617-['P' 'U' 'G' 'D' 'A'],Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,94.49,1796.03,Yes
8421-['E' 'W' 'Z' 'J' 'V'],Female,0,No,Yes,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.13,894.97,Yes
3849-['T' 'J' 'Z' 'S' 'Z'],Female,0,No,Yes,61,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,100.95,6160.47,No
5611-['P' 'X' 'P' 'W' 'B'],Female,0,No,Yes,17,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),63.42,1074.7,No
7303-['T' 'X' 'L' 'R' 'C'],Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.2,1807.04,No
3427-['A' 'A' 'S' 'K' 'E'],Female,0,No,Yes,24,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.76,2269.95,No
6387-['C' 'A' 'A' 'H' 'J'],Female,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),61.43,673.93,Yes
2066-['L' 'M' 'L' 'N' 'B'],Female,0,Yes,Yes,20,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.55,1550.74,No
9945-['C' 'W' 'Q' 'Z' 'H'],Male,1,Yes,No,24,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,67.35,1621.38,No
7748-['Z' 'J' 'Z' 'B' 'S'],Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.07,270.01,Yes
9808-['G' 'D' 'Z' 'U' 'R'],Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),91.19,5747.23,No
1412-['X' 'D' 'Y' 'U' 'Y'],Female,0,No,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.68,5882.89,Yes
9867-['J' 'E' 'I' 'X' 'C'],Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.0,1418.04,Yes
2122-['P' 'D' 'R' 'Q' 'G'],Male,0,Yes,No,61,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),70.28,4282.67,No
3143-['X' 'W' 'E' 'L' 'Q'],Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,82.61,3965.74,No
4766-['M' 'W' 'Y' 'C' 'I'],Female,0,No,No,13,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,68.86,897.18,No
6917-['Q' 'Q' 'T' 'P' 'Y'],Male,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.95, ,Yes
2365-['M' 'S' 'Q' 'D' 'L'],Female,0,No,Yes,24,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,75.8,1824.18,No
8400-['S' 'L' 'I' 'G' 'N'],Female,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.0,1854.59,No
3782-['T' 'S' 'Z' 'O' 'P'],Female,1,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,71.03,5047.09,No
5980-['E' 'C' 'L' 'Y' 'T'],Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.59,2214.94,No
6588-['D' 'U' 'W' 'P' 'Y'],Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.18,122.61,No
2062-['M' 'U' 'J' 'Z' 'G'],Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,67.54,1216.7,Yes
7541-['Z' 'E' 'C' 'W' 'K'],Male,0,Yes,No,22,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,81.25,1783.03,Yes
9010-['R' 'O' 'L' 'I' 'J'],Male,1,No,Yes,8,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.63,544.82,Yes
1953-['L' 'Q' 'F' 'G' 'N'],Male,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.42,4131.79,Yes
2191-['J' 'I' 'R' 'Z' 'B'],Male,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.65,473.46,No
2540-['E' 'F' 'S' 'H' 'P'],Female,0,No,Yes,32,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,85.64,2742.94,No
2365-['T' 'Q' 'G' 'Y' 'M'],Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.97,79.97,No
4141-['S' 'L' 'V' 'G' 'J'],Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,67.48,878.3,No
6977-['S' 'G' 'C' 'M' 'M'],Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),79.26, ,No
5849-['Z' 'T' 'H' 'I' 'G'],Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.32,5374.13,No
4072-['C' 'M' 'Y' 'Q' 'Y'],Male,0,No,Yes,15,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.65,1182.72,Yes
1823-['A' 'F' 'U' 'F' 'Z'],Female,0,No,Yes,46,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),88.74,4085.02,No
4627-['M' 'M' 'O' 'U' 'P'],Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),95.63,4114.84,Yes
6348-['D' 'C' 'S' 'T' 'Y'],Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),89.92,1169.21,Yes
7190-['I' 'Q' 'N' 'O' 'A'],Female,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.76,1740.33,No
9053-['C' 'P' 'W' 'Y' 'K'],Female,0,No,Yes,54,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,71.4,3858.69,No
2353-['P' 'H' 'F' 'L' 'X'],Female,0,No,No,14,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),83.66,1168.1,No
1667-['U' 'H' 'Z' 'D' 'Z'],Male,0,No,Yes,71,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,68.27,4845.07,No
4719-['Z' 'R' 'E' 'I' 'D'],Female,1,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),110.85,3654.89,No
4775-['V' 'Q' 'I' 'A' 'U'],Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.36,33.1,Yes
8891-['M' 'P' 'M' 'N' 'C'],Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.49,2354.6,Yes
4324-['F' 'R' 'S' 'E' 'O'],Male,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,66.82,4745.75,Yes
1009-['X' 'R' 'M' 'E' 'W'],Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.45,691.06,No
2015-['A' 'V' 'A' 'R' 'O'],Female,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),21.28,1421.76,No
8449-['Y' 'V' 'Q' 'M' 'A'],Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,83.77,1093.12,Yes
2633-['I' 'C' 'A' 'U' 'P'],Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,103.3,6404.68,Yes
3000-['E' 'E' 'F' 'C' 'U'],Male,0,No,Yes,64,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,65.76,4207.71,No
8190-['E' 'U' 'E' 'J' 'J'],Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.89,7095.52,No
5178-['Q' 'U' 'N' 'I' 'N'],Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.96,1978.45,No
3048-['S' 'M' 'M' 'D' 'A'],Male,0,No,Yes,63,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),65.0,4091.33,No
5976-['H' 'B' 'H' 'G' 'Z'],Female,1,No,No,31,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.1,2420.16,Yes
1249-['B' 'V' 'V' 'C' 'R'],Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,94.82,1135.11,Yes
5363-['A' 'V' 'L' 'E' 'Y'],Female,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,77.93,5062.89,No
7544-['P' 'O' 'W' 'O' 'E'],Male,0,No,Yes,18,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.29,1395.15,No
7996-['N' 'B' 'K' 'S' 'G'],Male,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.99,736.08,No
7881-['F' 'R' 'B' 'R' 'O'],Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),92.94,929.23,No
8002-['S' 'B' 'T' 'Y' 'F'],Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,96.48,5597.73,No
8648-['X' 'O' 'W' 'J' 'S'],Female,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),80.04,1125.08,No
3180-['D' 'J' 'X' 'Q' 'J'],Female,0,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.85,813.77,Yes
